step,loss,loss_std,loss_ema,grad_norm,lr,step_per_sec,elapsed_sec
1,1.148307,0.000000,1.148307,2.911613,0.00020000,0.1062,9.41
100,0.247498,0.244570,0.549011,0.547934,0.00020000,3.2829,30.46
200,0.061514,0.013008,0.238428,0.337871,0.00020000,3.8512,51.93
300,0.038949,0.006828,0.111228,0.343175,0.00020000,4.0944,73.27
400,0.031233,0.006156,0.060050,0.288789,0.00020000,4.2307,94.55
500,0.026327,0.004661,0.038569,0.269924,0.00020000,4.3137,115.91
600,0.024218,0.004677,0.029310,0.283873,0.00020000,4.3743,137.16
700,0.020494,0.003914,0.023656,0.242338,0.00020000,4.4178,158.45
800,0.019259,0.003960,0.020687,0.248611,0.00020000,4.4469,179.90
900,0.017377,0.003485,0.018429,0.225712,0.00020000,4.4679,201.44
1000,0.016248,0.003052,0.016939,0.226143,0.00020000,4.4828,223.08
1100,0.015866,0.003270,0.016207,0.256551,0.00020000,4.4917,244.89
1200,0.014832,0.002957,0.015265,0.198228,0.00020000,4.5043,266.41
1300,0.013468,0.002823,0.014083,0.205935,0.00020000,4.5173,287.78
1400,0.013714,0.002731,0.013865,0.231475,0.00020000,4.5278,309.20
1500,0.013044,0.003012,0.013264,0.216442,0.00020000,4.5407,330.34
1600,0.011945,0.002443,0.012420,0.222217,0.00020000,4.5507,351.59
1700,0.012771,0.003192,0.012511,0.233948,0.00020000,4.5614,372.69
1800,0.011551,0.002581,0.011893,0.188211,0.00020000,4.5708,393.80
1900,0.010891,0.002465,0.011141,0.179508,0.00020000,4.5782,415.01
2000,0.011169,0.002350,0.011153,0.169430,0.00020000,4.5850,436.20
2100,0.010797,0.002617,0.010796,0.188805,0.00020000,4.5913,457.39
2200,0.010356,0.002156,0.010519,0.186004,0.00020000,4.5970,478.57
2300,0.010322,0.002217,0.010442,0.194194,0.00020000,4.6034,499.63
2400,0.009813,0.002046,0.010017,0.168168,0.00020000,4.6088,520.75
2500,0.009605,0.002042,0.009714,0.184441,0.00020000,4.6127,541.99
2600,0.009259,0.002093,0.009459,0.172609,0.00020000,4.6171,563.12
2700,0.009030,0.002228,0.009156,0.199092,0.00020000,4.6220,584.16
2800,0.009494,0.002202,0.009454,0.203373,0.00020000,4.6254,605.36
2900,0.009161,0.001999,0.009314,0.189181,0.00020000,4.6289,626.50
3000,0.008921,0.002080,0.009111,0.154529,0.00020000,4.6315,647.74
3100,0.008551,0.002177,0.008800,0.184149,0.00020000,4.6348,668.86
3200,0.008487,0.001888,0.008546,0.154646,0.00020000,4.6381,689.94
3300,0.008902,0.002181,0.008831,0.201630,0.00020000,4.6405,711.13
3400,0.007698,0.001570,0.008018,0.131489,0.00020000,4.6435,732.21
3500,0.007824,0.002084,0.007901,0.174725,0.00020000,4.6458,753.36
3600,0.007547,0.001618,0.007660,0.155588,0.00020000,4.6476,774.59
3700,0.007722,0.001821,0.007698,0.152002,0.00020000,4.6501,795.68
3800,0.007839,0.002160,0.007727,0.169413,0.00020000,4.6523,816.80
3900,0.007186,0.001860,0.007396,0.140351,0.00020000,4.6538,838.02
4000,0.007345,0.001782,0.007325,0.150748,0.00020000,4.6556,859.18
4100,0.007819,0.001882,0.007570,0.175782,0.00020000,4.6574,880.31
4200,0.006791,0.001587,0.007052,0.146055,0.00020000,4.6588,901.52
4300,0.007075,0.001644,0.007050,0.174823,0.00020000,4.6604,922.66
4400,0.006946,0.001929,0.006964,0.142493,0.00020000,4.6620,943.80
4500,0.006934,0.001843,0.006983,0.161244,0.00020000,4.6632,965.00
4600,0.006974,0.001566,0.006921,0.153880,0.00020000,4.6644,986.19
4700,0.006641,0.001678,0.006648,0.141358,0.00020000,4.6654,1007.42
4800,0.006423,0.001362,0.006472,0.137686,0.00020000,4.6670,1028.51
4900,0.006718,0.001922,0.006625,0.149770,0.00020000,4.6681,1049.67
5000,0.006181,0.001310,0.006354,0.133032,0.00020000,4.6688,1070.93
5100,0.006695,0.001689,0.006542,0.147049,0.00020000,4.6697,1092.15
